"James","Butt","6649 N Blue Gum St","New Orleans","LA",70116,"504-621-8927","jbutt@gmail.com"
"Josephine","Darakjy","4 B Blue Ridge Blvd","Brighton","MI",48116,"810-292-9388","josephine_darakjy@darakjy.org"
"Art","Venere","8 W Cerritos Ave #54","Bridgeport","NJ","08014","856-636-8749","art@venere.org"
"Lenna","Paprocki","639 Main St","Anchorage","AK",99501,"907-385-4412","lpaprocki@hotmail.com"
"Donette","Foller","34 Center St","Hamilton","OH",45011,"513-570-1893","donette.foller@cox.net"
"Simona","Morasca","3 Mcauley Dr","Ashland","OH",44805,"419-503-2484","simona@morasca.com"
"Mitsue","Tollner","7 Eads St","Chicago","IL",60632,"773-573-6914","mitsue_tollner@yahoo.com"
"Leota","Dilliard","7 W Jackson Blvd","San Jose","CA",95111,"408-752-3500","leota@hotmail.com"
"Sage","Wieser","5 Boston Ave #88","Sioux Falls","SD",57105,"605-414-2147","sage_wieser@cox.net"
"Kris","Marrier","228 Runamuck Pl #2808","Baltimore","MD",21224,"410-655-8723","kris@gmail.com"
"Minna","Amigon","2371 Jerrold Ave","Kulpsville","PA",19443,"215-874-1229","minna_amigon@yahoo.com"
"Abel","Maclead","37275 St  Rt 17m M","Middle Island","NY",11953,"631-335-3414","amaclead@gmail.com"
"Kiley","Caldarera","25 E 75th St #69","Los Angeles","CA",90034,"310-498-5651","kiley.caldarera@aol.com"
"Graciela","Ruta","98 Connecticut Ave Nw","Chagrin Falls","OH",44023,"440-780-8425","gruta@cox.net"
"Cammy","Albares","56 E Morehead St","Laredo","TX",78045,"956-537-6195","calbares@gmail.com"
"Mattie","Poquette","73 State Road 434 E","Phoenix","AZ",85013,"602-277-4385","mattie@aol.com"
"Meaghan","Garufi","69734 E Carrillo St","Mc Minnville","TN",37110,"931-313-9635","meaghan@hotmail.com"
"Gladys","Rim","322 New Horizon Blvd","Milwaukee","WI",53207,"414-661-9598","gladys.rim@rim.org"
"Yuki","Whobrey","1 State Route 27","Taylor","MI",48180,"313-288-7937","yuki_whobrey@aol.com"
"Fletcher","Flosi","394 Manchester Blvd","Rockford","IL",61109,"815-828-2147","fletcher.flosi@yahoo.com"
"Bette","Nicka","6 S 33rd St","Aston","PA",19014,"610-545-3615","bette_nicka@cox.net"
"Veronika","Inouye","6 Greenleaf Ave","San Jose","CA",95111,"408-540-1785","vinouye@aol.com"
